Глубина манометра;Dшт;Руст;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Рпл. Тек (послед точка на КВД);Pсб;Удельная плотность газа ;G_total;КГФ
0,769035533;0,166841553;0,624365482;0,732142857;0,547244094;0,072261072;0,829446064;0,189552706;0,187815687;0,500414938;0,416210296;0,784655623;;0,547233431
0,769035533;0,333683106;0,52284264;0,765444015;0,665354331;0,158508159;0,800291545;0,408820769;0,302212663;0,500414938;0,351588171;0,784655623;;0,386932729
0,769035533;0,499475341;0,385786802;0,751206564;0,724409449;0,235431235;0,727405248;0,596809509;0,434434777;0,500414938;0,443044907;0,784655623;;0,226632027
0,769035533;0,666316894;0,294416244;0,76230695;0,744094488;0,264568765;0,625364431;0,691585862;0,499674129;0,500414938;0,221796276;0,784655623;;0,143717871
0,769035533;0,833158447;0,152284264;0,805984556;0,763779528;0,328671329;0,465014577;0,867062871;0,596702187;0,500414938;0,25958379;0,784655623;;0,055276104
0,777918782;0,333683106;0,355329949;0,775699807;0,625984252;0,191142191;0,639941691;0,492962152;0,236305276;;0,357064622;0,871839582;;0,226632027
0,956852792;0,333683106;0,670050761;0,555139961;0,468503937;0;0,744897959;0;0,402450549;1;0,767798467;0,732345248;0,281341108;0,909291913
0,956852792;0,666316894;0,30964467;0,624034749;0,586614173;0,163170163;0,7303207;0,41851736;0,56279532;1;0,74041621;0,732345248;0,430029155;0,689182466
0,956852792;0,833158447;0,131979695;0,487572394;0,547244094;0,151515152;0,71574344;0,369096028;0,586111383;1;0,724534502;0,732345248;0,437317784;0,569122768
0,956852792;1;0;0,468146718;0,527559055;0,198135198;0,701166181;0,47638411;0,593313129;1;0,82694414;0,732345248;0,434402332;0,509148195
0,956852792;0,833158447;0,076142132;0,384169884;0,507874016;;0;0,311542071;0,539218562;1;0,621577218;0,732345248;0,360058309;0,379359903
0,956852792;0,499475341;0,284263959;0,435328185;0,507874016;;0,316326531;0,086643728;0,369293186;1;0,675794085;0,732345248;0,214285714;0,633906362
0,949238579;0,166841553;1;0,587475869;0,704724409;0,807692308;0,785714286;0,286205818;0,260012383;0,753526971;0,221796276;0,97820401;0,137026239;0,904261788
0,949238579;0,333683106;0,959390863;0,693050193;0,822834646;0,868298368;0,7696793;0,578041914;0,447127448;0,753526971;0;0,97820401;0,348396501;0,835995799
0,949238579;0,666316894;0,827411168;0,787162162;0,980314961;0,962703963;0,766763848;0,91804817;0,857350018;0,753526971;0,448521358;0,97820401;0,819241983;0,826709414
0,949238579;0,833158447;0,730964467;0,796694015;1;1;0,759475219;0,961213638;1;0,753526971;0,36746988;0,97820401;1;0,891271903
0,949238579;0,833158447;0,685279188;0,819256757;0,980314961;;0,749271137;0,972786988;0,964414899;0,753526971;0,583789704;0,97820401;0,954810496;0,874357415
0,949238579;0,499475341;0,822335025;0,742157336;0,901574803;;0,752186589;0,714732562;0,600889628;0,753526971;0,146221249;0,97820401;0,530612245;0,865181582
0,956852792;0,333683106;0,822335025;0,855091699;0,783464567;0,128205128;0,613702624;0,63841101;0,387541956;0,590456432;0,178532311;0,993897123;0,263848397;0,684539274
0,956852792;0,499475341;0,771573604;1;0,862204724;0,174825175;0,613702624;0,849233657;0,557108873;0,590456432;0,102957284;0,993897123;0,444606414;0,620363717
-8,314720812;0,833158447;0,436548223;0,796694015;0,881889764;;;0,944322803;0,770896471;;0,286418401;1;0,655976676;0,486650821
0,751269036;0;0,585228426;0,892374517;0,015748031;;0,683673469;0,13981858;0,032310099;0,390871369;0,502738226;0,802092415;;0,768337848
0,751269036;0,333683106;0,51319797;0,760859073;0,133858268;;0,65451895;0,515170472;0,287190015;0,390871369;0,502738226;0,802092415;;0,66331325
0,751269036;0,499475341;0,441218274;0,819980695;0,251968504;;0,639941691;0,718486081;0,426059895;0,390871369;0,97864184;0,802092415;;0,580399093
0,751269036;0,666316894;0,441218274;0,816361004;0,251968504;;0,625364431;0,818579919;0,560905269;0,390871369;0,675794085;0,802092415;;0,475374496
0,793147208;0,166841553;0,61928934;0,71742278;0,645669291;0,13986014;0,712827988;0,349390053;0,175008961;0,465560166;0,65388828;0,95902354;;0,381405119
0,793147208;0,333683106;0,568527919;0,700530888;0,744094488;0,203962704;0,680758017;0,530810135;0,32251442;0,465560166;0,540525739;0,95902354;;0,27085291
0,793147208;0,499475341;0,487309645;0,631756757;0,822834646;0,255244755;0,625364431;0,665311229;0,467543259;0,465560166;0,25958379;0,95902354;;0,210049196
0,793147208;0,666316894;0,401015228;0,678812741;0,862204724;0,313519814;0,552478134;0,806068189;0,588685763;0,465560166;0,351588171;0,95902354;;0,160300702
0,793147208;0,833158447;0,289340102;0,694498069;0,862204724;0,34965035;0,465014577;0,912417892;0,694821912;0,465560166;0,416210296;0,95902354;;0,13819026
0,793147208;0,666316894;0,355329949;0,686052124;0,842519685;;0,517492711;0,818579919;0,589810017;0,465560166;0,378422782;0,95902354;;0,121607429
-8,314720812;0,333683106;0,401015228;0,718146718;0,665354331;;;0,485142321;0,255205787;;0,400328587;0,871839582;;0,116079819
0,513959391;0,333683106;0,629441624;0,646959459;0,645669291;0,155011655;0,918367347;0,414763841;0,357627008;0,428215768;0,129791895;0,871839582;;0,116079819
0,513959391;0,499475341;0,568527919;0,644787645;0,704724409;0,203962704;0,913994169;0,578354708;0,521116434;0,428215768;0,129791895;0,871839582;;0,038693273
-8,314720812;0,666316894;0,324873096;0,741916023;0,822834646;;;0,823897404;0,571463486;;0,405257393;0,871839582;;0
0,925126904;0;0,684060914;0,786800193;0,448818898;;0,552478134;0,013137316;0,088115489;0,568049793;0,91347207;0,95902354;;0,447736444
0,925126904;0,333683106;0,550507614;0,812982625;0,68503937;;1;0,445417579;0,416055659;0,568049793;0,621577218;0,95902354;;0,348239456
0,925126904;0,499475341;0,505888325;0,817567568;0,744094488;;0,698250729;0,647169221;0,603235898;0,568049793;0,983570646;0,95902354;;0,309546183
0,925126904;0,666316894;0,466294416;0,837958494;0,783464567;;0,683673469;0,812011261;0,788346857;0,568049793;0,989047097;0,95902354;;0,27085291
0,992385787;0,166841553;0,644670051;0,658783784;0,488188976;0,059440559;0,77696793;0,13794182;0,187131359;0,408713693;0,410733844;0,871839582;;0,370349898
0,992385787;0,333683106;0,609137056;0,682673745;0,606299213;0,144522145;0,781341108;0,364716922;0,366360348;0,408713693;0,394852136;0,871839582;;0,237687248
0,992385787;0,499475341;0,573604061;0;0,704724409;0,212121212;0,779883382;0,551767282;0,526460716;0,408713693;0,502738226;0,871839582;;0,221104417
0,992385787;0,666316894;0,52284264;0,052123552;0,783464567;0,264568765;0,772594752;0,689396309;0,667220647;0,408713693;0,524644031;0,871839582;;0,187938754
0,992385787;0,833158447;0,431472081;0,08578668;0,822834646;0,312354312;0,762390671;0,817641539;0,854857106;0,408713693;0,56736035;0,871839582;;0,171355923
1;0,666316894;0,467005076;0,742639961;0,80511811;0,277389277;0,704081633;0,710353456;0,611627073;0,332780083;0,556955093;0,871839582;;0,049748494
0,996192893;0,333683106;0,568527919;0,645028958;0,68503937;0,132867133;0,67638484;0,359086644;0,342588067;0,314522822;0,178532311;0,784655623;;0,12713504
0,996192893;0,499475341;0,52284264;0,665299228;0,724409449;0,205128205;0,673469388;0,539881139;0,495926614;0,314522822;0,140744797;0,784655623;;0,055276104
0,996192893;0,666316894;0,441624365;0,660955598;0,783464567;0,252913753;0,660349854;0,653112293;0,628490892;0,314522822;0,178532311;0,784655623;;0,044220883
0,996192893;0,833158447;0,350253807;0,660955598;0,822834646;0,301864802;0,645772595;0,772286519;0,782758171;0,314522822;0,184008762;0,784655623;;0,00552761
0,376903553;0;0,425786802;0,738175676;0;;0,873177843;0,050985299;0;0,333609959;0,881161008;0,697471665;;0,608037146
0,376903553;0,333683106;0,33319797;0,762910232;0,222440945;;0,902332362;0,454488583;0,189347281;0,333609959;0,97864184;0,697471665;;0,469846885
0,376903553;0,499475341;0,235482234;0,7566361;0,356299213;;0,912536443;0,644354082;0,272819109;0,333609959;0,924424973;0,697471665;;0,331656625
0,376903553;0,666316894;0,137715736;0,767374517;0,464566929;;0,902332362;0,81294964;0,329341415;0,333609959;0,994523549;0,697471665;;0,254270079
0,376903553;0,834207765;0,070862944;0,770752896;0,519685039;;0,94606414;0,893024711;0,355736957;0,333609959;1;0,697471665;;0,182411144
0,408629442;0,120671563;0,401015228;0,711389961;0,311023622;0,058275058;0,916909621;0,121050985;0,055039593;0,302489627;0,772727273;0,95902354;;0,486429716
0,408629442;0,166841553;0,370558376;0,722249035;0,468503937;0,079254079;0,93148688;0,202377229;0,100123831;0,302489627;0,772727273;0,95902354;;0,480902106
0,408629442;0,333683106;0,289340102;0,722249035;0,586614173;0,164335664;0,93148688;0,446355959;0,198879004;0,302489627;0,789156627;0,95902354;;0,381405119
0,408629442;0,499475341;0,187817259;0,729488417;0,586614173;0,231934732;0,916909621;0,593368783;0,288754196;0,302489627;0,789156627;0,95902354;;0,165828312
0,408629442;0,666316894;0,091370558;0,734314672;0,625984252;0,286713287;0,902332362;0,75602127;0,351810213;0,302489627;0,800109529;0,95902354;;0,143717871
0,408629442;0,833158447;0,010152284;0,71742278;0,645669291;0,32983683;0,906705539;0,865498905;0,377782123;0,302489627;0,821467689;0,95902354;;0,12713504
0,416243655;0,166841553;0,137055838;0,605815637;0,38976378;0,053613054;0,341107872;0,122302158;0,028204126;0;0,243154436;0;;0,27085291
0,416243655;0,166841553;0,14213198;0,626206564;0,350393701;0,044289044;0,335276968;0,118235846;0,0282693;0;0,265060241;0;;0,259797689
0,416243655;0,166841553;0,137055838;0,644425676;0,37007874;0,065268065;0,271137026;0,131685956;0,026721413;0;0,28094195;0;;0,27085291
0,004568528;0;0,775532995;0,764478764;0,045275591;;0,873177843;0,121050985;0,065532636;0,463900415;0,864731654;0,871839582;;0,514067769
0,004568528;0,666316894;0,600659898;0,760859073;0,513779528;;0,902332362;0,890522365;0,718056506;0,463900415;0,929901424;0,871839582;;0,331656625
0,004568528;0,834207765;0,523502538;0,763272201;0,576771654;;0,94606414;1;0,846824388;0,463900415;0,951259584;0,871839582;;0,337184235
0;0,120671563;0,670050761;0,659507722;0,625984252;0,088578089;0,695335277;0,261807945;0,19265487;0,426141079;0,475903614;0,871839582;;0,503012548
0;0,333683106;0,639593909;0,653474903;0,744094488;0,178321678;0,724489796;0,483891148;0,361260469;0,426141079;0,43263965;0,871839582;;0,447736444
0;0,499475341;0,588832487;0,677606178;0,822834646;0,254079254;0,733236152;0,677822959;0,52748721;0,426141079;0,529572837;0,871839582;;0,40351556
0;0,666316894;0,517766497;0,664333977;0,901574803;0,308857809;0,731778426;0,809196121;0,706862841;0,426141079;0,470427163;0,871839582;;0,370349898
0;0,834207765;0,426395939;0,706563707;0,901574803;0,358974359;0,721574344;0,940569284;0,855215564;0,426141079;0,702628697;0,871839582;;0,304018573
0,020304569;0,166841553;0,532994924;0,582287645;0,527559055;0,06993007;0,651603499;0,161714107;0,141704956;0,253526971;0,227272727;0,784655623;;0,386932729
0,020304569;0,333683106;0,527918782;0,611245174;0,687007874;0,162004662;0,674927114;0,427588364;0,300192264;0,253526971;0,184008762;0,784655623;;0,281908131
0,020304569;0,499475341;0,467005076;0,701737452;0,769685039;0,237762238;0,67638484;0,64028777;0,457620491;0,253526971;0,297371303;0,784655623;;0,187938754
0,020304569;0,666316894;0,401015228;0,681225869;0,803149606;0,289044289;0,666180758;0,759149202;0,571447193;0,253526971;0,481380066;0,784655623;;0,121607429
0,020304569;0,833158447;0,30964467;0,695704633;0,840551181;0,335664336;0,644314869;0,890522365;0,717127774;0,253526971;0,459474261;0,784655623;;0,088441767
0,031979695;0,166841553;0,47715736;0,626930502;0,527559055;;0,610787172;0,189865499;0,14245446;0,167634855;0,237677985;0,871839582;;0,281908131
0,031979695;0,499475341;0,401015228;0,634169884;0,704724409;;0,639941691;0,602752581;0,422507902;0,167634855;0,286418401;0,871839582;;0,077386546
0,035025381;0,333683106;0,319796954;0,650337838;0,625984252;;0,537900875;0,441976853;0,22147815;;0,459474261;0,871839582;;0,044220883
